,neuron-id,current_concepts,concepts_1,concepts_2,concepts_3,concepts_4
0,5104,"[('busiest', 1.0), ('intellectual', 0.9206947704704028), ('Speaking', 0.9186476226654988), ('Vertical', 0.8911860817813002), ('CN', 0.869426586338372)]","[('wellbeing', 1.0), ('achievements', 0.9135062746765125), ('integrity', 0.9113629584407766), ('newborn', 0.9098122038799585), ('consists', 0.90938985897017)]","[('Speaking', 1.0), ('According', 0.9748053188799163), ('Officials', 0.959441132419332), ('WASHINGTON', 0.8895113488029958), ('Yesterday', 0.8651377856102286)]","[('busiest', 1.0), ('intellectual', 0.9244052256778099), ('normal', 0.9073332719576667), ('roller', 0.8663857573792061), ('forgotten', 0.864107269938735)]","[('normal', 1.0), ('busiest', 0.9911207056395964), ('Fine', 0.9241809570531347), ('screws', 0.9183778580908144), ('intellectual', 0.9116414970380611)]"
1,4336,"[('Amid', 1.0), ('Yesterday', 0.9865497176355319), ('Already', 0.9402272690524273), ('Should', 0.9335177417557141), ('Now', 0.9138075873115519)]","[('shoppers', 1.0), ('BBQ', 0.9659198744851619), ('establishing', 0.8445744929434985), ('Secure', 0.8379155938394212), ('Whilst', 0.8263633184789584)]","[('Yesterday', 1.0), ('Amid', 0.9840484469223145), ('Already', 0.9702541058279701), ('Should', 0.962629522015761), ('Earlier', 0.9042631818394737)]","[('Amid', 1.0), ('Yesterday', 0.9867977986985845), ('Should', 0.9326952365725164), ('Now', 0.9300995792492629), ('Already', 0.9298795187313772)]","[('Amid', 1.0), ('Yesterday', 0.9860748839371015), ('Should', 0.936648518714297), ('Now', 0.927300322115769), ('Earlier', 0.923798540402473)]"
2,4321,"[('countrysides', 1.0), ('putters', 0.9263147665399076), ('Barrett', 0.9135126036692626), ('Swadlincote', 0.8936966806940128), ('Ruth', 0.8866007192443537)]","[('Recent', 1.0), ('Growing', 0.9843096536498694), ('Politics', 0.9820442664391676), ('WASHINGTON', 0.9792803374912908), ('LOS', 0.9730208062496378)]","[('racy', 1.0), ('hove', 0.9929746763931323), ('Each', 0.9515753205648694), ('putters', 0.9397429076838133), ('Swadlincote', 0.9388427506435084)]","[('countrysides', 1.0), ('READ', 0.9254465985320943), ('Born', 0.9129418151713485), ('Perm', 0.8927876500943789), ('Q', 0.8916382573294378)]","[('countrysides', 1.0), ('READ', 0.9942097891457001), ('bake', 0.9902133743301054), ('Q', 0.9901012570617025), ('Born', 0.962310058740781)]"
3,4213,"[('Corbyn', 1.0), ('Ankara', 0.9863591687140878), ('Bar', 0.9516076995857266), ('renters', 0.9466098905254555), ('Anchorage', 0.9380439673007096)]","[('Whilst', 1.0), ('LOS', 0.819172763559999), ('bride', 0.8165819240728697), ('Recent', 0.8010838053605726), ('Strong', 0.7982324505216987)]","[('Ankara', 1.0), ('Bar', 0.9959759633234876), ('Corbyn', 0.9618841386538133), ('hove', 0.9540375359934807), ('Palestine', 0.9394446572669559)]","[('Lynn', 1.0), ('Ankara', 0.9990128485054998), ('renters', 0.9950599657438357), ('Corbyn', 0.992451564115795), ('Anchorage', 0.9876216788592823)]","[('Lynn', 1.0), ('bake', 0.9871815587096695), ('Anchorage', 0.9534342924419188), ('Ankara', 0.9364335089708681), ('renters', 0.9347650876429396)]"
4,4287,"[('tracing', 1.0), ('Somerset', 0.8981967260888752), ('renters', 0.8843384595743028), ('Lynn', 0.8647601463212907), ('candle', 0.8638746416210801)]","[('Sample', 1.0), ('Small', 0.9981501863849954), ('Growing', 0.9971761332661323), ('Strong', 0.995764008668415), ('Top', 0.9950957718185336)]","[('tracing', 1.0), ('Somerset', 0.9358760825607336), ('renters', 0.8932977268743775), ('Brookings', 0.8914358995185769), ('Lynn', 0.889057945435458)]","[('tracing', 1.0), ('Lynn', 0.8960985072839182), ('Hansen', 0.8900056570894943), ('Alzheimer', 0.881791991783147), ('Somerset', 0.8808243656494147)]","[('tracing', 1.0), ('Alzheimer', 0.9380098652262212), ('Lynn', 0.9372167007649322), ('Jonas', 0.924588746923731), ('balances', 0.9186700891243204)]"
5,2751,"[('Working', 1.0), ('Initially', 0.9581841656623061), ('Should', 0.9544899355433807), ('Fresh', 0.9428035966223757), ('Already', 0.9385631925494408)]","[('Sample', 1.0), ('Small', 0.996055956702367), ('Creating', 0.9940525449792), ('900', 0.9937704970629843), ('Politics', 0.9934662370057047)]","[('Working', 1.0), ('Should', 0.9984889267440477), ('Still', 0.9413651327725001), ('Already', 0.9412831931250314), ('Making', 0.9380094222301103)]","[('Initially', 1.0), ('Working', 0.9945646093228429), ('Should', 0.9788737185769758), ('Already', 0.9632549816364785), ('Fresh', 0.9571802024069636)]","[('Initially', 1.0), ('Should', 0.9937548853414354), ('Working', 0.9694879528132895), ('Though', 0.9645221956845139), ('Already', 0.9603597252348466)]"
6,3445,"[('Investigators', 1.0), ('Per', 0.9987989764598971), ('Where', 0.9716863420283509), ('LONDON', 0.9645860087002319), ('Name', 0.9468500299809832)]","[('automakers', 1.0), ('bride', 0.9939633615442948), ('Subway', 0.9780355229126058), ('verbal', 0.9698456681915899), ('Copenhagen', 0.9110576017056005)]","[('Katz', 1.0), ('5-40', 0.9813243694181004), ('Investigators', 0.9804698363545894), ('Churchill', 0.9461847152037914), ('LONDON', 0.9405231826012846)]","[('Per', 1.0), ('Where', 0.9661429411717494), ('Should', 0.947646713271853), ('Assad', 0.9475040006543225), ('In', 0.9474886818955863)]","[('Where', 1.0), ('Assad', 0.9997579054947192), ('Per', 0.9922774530005836), ('In', 0.9876631438518342), ('apart', 0.9818472720997671)]"
7,4279,"[('Chelsea', 1.0), ('slams', 0.9905149191459139), ('motorcycle', 0.9860080517720313), ('Wendy', 0.985812395395669), ('Bangladesh', 0.9822616748654559)]","[('Corner', 1.0), ('Thousand', 0.9599055550224068), ('Boris', 0.9195441557200789), ('vigilant', 0.9143778735260605), ('Downtown', 0.9127643921830473)]","[('Chelsea', 1.0), ('Bangladesh', 0.9688351081550998), ('Wendy', 0.962177688082828), ('Corner', 0.9380631645989721), ('Stoke', 0.9297826346910991)]","[('slams', 1.0), ('Boris', 0.9870887875747452), ('Wendy', 0.9747704352036376), ('motorcycle', 0.9742718356329195), ('Toby', 0.9708613975084864)]","[('Boris', 1.0), ('slams', 0.9957575827666497), ('Toby', 0.984201326384964), ('Wendy', 0.9785114439588274), ('Cornwall', 0.9777616482733329)]"
8,4503,"[('Barnaby', 1.0), ('Isaiah', 0.9423190637120754), ('Metropolitan', 0.9237179607253585), ('Montgomery', 0.9132292543449665), ('Richmond', 0.9055265350663853)]","[('Ind', 1.0), ('Down', 0.9390046650637695), ('brokers', 0.9198174269106585), ('amend', 0.9066935660652575), ('Singapore', 0.8932154271493813)]","[('Barnaby', 1.0), ('Isaiah', 0.8689087312817662), ('Palestinians', 0.8491965088685006), ('Palestine', 0.84235460926256), ('Grizzlies', 0.8413786274337397)]","[('Isaiah', 1.0), ('Metropolitan', 0.9926274196598313), ('Barnaby', 0.9796215207888174), ('Montgomery', 0.955399528447241), ('Richmond', 0.9327376645829506)]","[('Isaiah', 1.0), ('Metropolitan', 0.9559498946252032), ('Barnaby', 0.9422108955107905), ('Montgomery', 0.9270981388432321), ('Richmond', 0.9076048987862175)]"
9,4214,"[('Hefner', 1.0), ('infamously', 0.9827276722276684), ('racy', 0.9236436455912028), ('skater', 0.8932738459017334), ('hove', 0.8813914989356676)]","[('weren', 1.0), ('haven', 0.9222456261938184), ('hadn', 0.9013663187297104), ('hasn', 0.8496251395013201), ('aren', 0.8053906302602691)]","[('Hefner', 1.0), ('infamously', 0.9305556346474235), ('hove', 0.9032182905461761), ('Edna', 0.8922946310202319), ('incendio', 0.85168869625968)]","[('Hefner', 1.0), ('infamously', 0.9715921415310073), ('racy', 0.9489086035660358), ('skater', 0.9278034162487737), ('skates', 0.8756617380501367)]","[('Hefner', 1.0), ('racy', 0.9570910722198296), ('infamously', 0.9318712954555834), ('Square', 0.9271558066189255), ('skates', 0.9112217371373531)]"
10,4521,"[('Britt', 1.0), ('Lori', 0.9233109138032833), ('ICE', 0.8717775206956585), ('risky', 0.862836622317793), ('Shore', 0.8151300694371967)]","[('Pete', 1.0), ('lobbying', 0.9961458590588085), ('birds', 0.8558158385360829), ('Short', 0.8441160275479976), ('Deep', 0.8091798781569427)]","[('Britt', 1.0), ('Lori', 0.9640328625664837), ('vigil', 0.880399531713585), ('risky', 0.8588289597867513), ('CBD', 0.846277321926281)]","[('Britt', 1.0), ('ICE', 0.9490160153080189), ('Lori', 0.9122652447496), ('Shore', 0.9006242677905769), ('risky', 0.868934015230989)]","[('ICE', 1.0), ('Shore', 0.9588974023722016), ('Lori', 0.9526150286963767), ('Britt', 0.9419652864169679), ('49', 0.8961645973897445)]"
11,4263,"[('rewarding', 1.0), ('humble', 0.9697927003853677), ('firmly', 0.9500165815710747), ('painful', 0.9119758069987167), ('worrying', 0.906662825506022)]","[('chancellor', 1.0), ('negotiators', 0.9195953962043211), ('Jerome', 0.9164813562658329), ('tropical', 0.8212783202379085), ('Grow', 0.810586085381895)]","[('rewarding', 1.0), ('worrying', 0.9705974684263914), ('humble', 0.948481944929664), ('painful', 0.9029688165684971), ('loud', 0.8807309351129332)]","[('rewarding', 1.0), ('humble', 0.962694468043836), ('firmly', 0.9485440300148429), ('painful', 0.9260379143783418), ('smiling', 0.8927850479032812)]","[('rewarding', 1.0), ('humble', 0.9490581357565006), ('painful', 0.9406783179734787), ('firmly', 0.9299964431983595), ('smiling', 0.9107590324811347)]"
