,neuron-id,current_concepts,concepts_1,concepts_2,concepts_3,concepts_4
0,410,"[('Irish', 1.0), ('Scottish', 0.9700331274383622), ('inauguration', 0.9486807507631088), ('buffalo', 0.9433108835345803), ('elevated', 0.8949240798025376)]","[('Irish', 1.0), ('Scottish', 0.9675576518032734), ('inauguration', 0.9450677739655435), ('buffalo', 0.945058407184121), ('elevated', 0.8950961128976398)]","[('Irish', 1.0), ('Scottish', 0.9729829151856548), ('inauguration', 0.9489116575574452), ('buffalo', 0.9404512492242543), ('elevated', 0.9000646364699857)]","[('Irish', 1.0), ('Scottish', 0.9661825591613757), ('inauguration', 0.9448695340429085), ('buffalo', 0.9391521359495998), ('elevated', 0.8971374885653025)]","[('Irish', 1.0), ('Scottish', 0.9692415978694171), ('inauguration', 0.9492225381874385), ('buffalo', 0.938935674599273), ('elevated', 0.9008340144835068)]"
1,100,"[('substance', 1.0), ('interim', 0.9646164741898792), ('Cities', 0.9634940306883051), ('spoken', 0.946516054670168), ('further', 0.9436746478170666)]","[('substance', 1.0), ('interim', 0.9676024937413922), ('Cities', 0.9662540427317131), ('chapter', 0.9471873971277521), ('further', 0.9468510292076487)]","[('substance', 1.0), ('interim', 0.9634969152721069), ('Cities', 0.9621326262739242), ('chapter', 0.949283931516259), ('further', 0.9477848155796191)]","[('substance', 1.0), ('interim', 0.9736677644728655), ('Cities', 0.9593311777152763), ('chapter', 0.952456323584059), ('further', 0.9474541522704208)]","[('substance', 1.0), ('interim', 0.9695670002619701), ('Cities', 0.9557605173902772), ('further', 0.9546822620329748), ('chapter', 0.954409672690509)]"
2,4867,"[('Peach', 1.0), ('Bechard', 0.9896031866640906), ('Harteveldt', 0.9551894885316047), ('Talbott', 0.9503934522449416), ('Brownstein', 0.9346754321586748)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0), ('Hurt', 0.11262087784788916)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0), ('Witness', 0.19009539337660517)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0), ('Witness', 0.2460418957583243)]"
3,4351,"[('un', 1.0), ('Meal', 0.9561149497138733), ('Ages', 0.9534529599273621), ('Canadians', 0.9379834569147492), ('1999', 0.9299931565189555)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0), ('Travel', 0.7829667365570923)]","[('Bearing', 1.0), ('SUV', 0.9632602970360629), ('Marchand', 0.9530949426787338), ('Armenians', 0.930183790923034), ('Travel', 0.9212539268795586)]","[('Travel', 1.0), ('SUV', 0.8793371084147986), ('Marchand', 0.8747524468766698), ('Bearing', 0.8615095086823328), ('refaire', 0.835235435846207)]","[('Travel', 1.0), ('Bearing', 0.9204193181874052), ('SUV', 0.8689694169748677), ('Marchand', 0.8063017129949703), ('refaire', 0.784881315742711)]"
4,665,"[('pulling', 1.0), ('assembly', 0.9996355433851124), ('pull', 0.9969249679586603), ('Hawk', 0.9908765275783744), ('governor', 0.9767740984916748)]","[('pulling', 1.0), ('assembly', 0.9995106469917028), ('pull', 0.9921907931273471), ('Hawk', 0.9916324239698089), ('governor', 0.9764397453482243)]","[('assembly', 1.0), ('pulling', 0.9997846645937432), ('Hawk', 0.9926038978556743), ('pull', 0.9890623729277483), ('governor', 0.9736038508807606)]","[('pulling', 1.0), ('assembly', 0.9915848471030116), ('Hawk', 0.9903499843313133), ('pull', 0.9734276956097534), ('governor', 0.9694801080903647)]","[('pulling', 1.0), ('Hawk', 0.9894046869737723), ('assembly', 0.9877433138222279), ('pull', 0.9691962637473736), ('governor', 0.9658030343386313)]"
5,2181,"[('freshman', 1.0), ('ballistic', 0.98417317703176), ('ankle', 0.9680375205893632), ('defensive', 0.9401815519826725), ('defender', 0.9019863749544086)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0), ('Gustavo', 0.11954617451805245)]"
6,554,"[('contrary', 1.0), ('goaltender', 0.9826270132175667), ('onstage', 0.9408452690911924), ('truck', 0.9097234605730701), ('victorious', 0.8912222565236047)]","[('contrary', 1.0), ('goaltender', 0.9826330166821186), ('onstage', 0.9358116715311966), ('truck', 0.9079551942569455), ('victorious', 0.8871872117480808)]","[('contrary', 1.0), ('goaltender', 0.9843624660738672), ('onstage', 0.9385570721105563), ('truck', 0.9028230842192742), ('victorious', 0.886647514518586)]","[('contrary', 1.0), ('goaltender', 0.9864380711397497), ('onstage', 0.9413161672514437), ('truck', 0.9023386349017475), ('reads', 0.8901062277927897)]","[('contrary', 1.0), ('goaltender', 0.9911017608249536), ('onstage', 0.9485014305985474), ('truck', 0.9188725594436719), ('reads', 0.8943763842412454)]"
7,5048,"[('Alignment', 1.0), ('Transport', 0.9259256328595067), ('Asset', 0.9195875566976591), ('Earthquake', 0.9087751167030085), ('Rupture', 0.9070483455988758)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0), ('Liberal', 0.5397486683318106)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0), ('Doctor', 0.6994967199254832)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0), ('Being', 0.48205592484836746)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0), ('Doctor', 0.4094439875917737)]"
8,4685,"[('Knox', 1.0), ('Selena', 0.9211024284024657), ('MacNaughton', 0.8617388103151623), ('Irwin', 0.8542422762911577), ('McDonagh', 0.8358352936876157)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]"
9,1668,"[('spider', 1.0), ('bacon', 0.8947219821450794), ('eggs', 0.8867017896685572), ('butterfly', 0.8558196830299838), ('systematic', 0.8400094311961638)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0), ('Tide', 0.12843793348667398)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0), ('Tide', 0.11544635021219252)]","[('\x80', 1.0), ('\x99', 1.0), ('\x9c', 1.0), ('\x9d', 1.0), ('Tide', 0.16840943779380763)]"
