,neuron-id,current_concepts,concepts_1,concepts_2,concepts_3,concepts_4
0,2186,"[('Workers', 1.0), ('Andrei', 0.9993002231745801), ('Auto', 0.9855003228411723), ('Zhu', 0.9657462463076368), ('Comprehensive', 0.9580556040820293)]","[('167', 1.0), ('93', 0.9261125776174775), ('335', 0.8737715703494869), ('216', 0.8222169858507297), ('th', 0.8187537815502575)]","[('Zhu', 1.0), ('Wasps', 0.9968371029105826), ('Liza', 0.9636284167297413), ('Andrei', 0.9178262959869219), ('Darren', 0.8913043101465643)]","[('Comprehensive', 1.0), ('Andrei', 0.994042816404602), ('Zhu', 0.9916612371650706), ('Liza', 0.9597556248473448), ('Wasps', 0.9515146247616993)]","[('Comprehensive', 1.0), ('Workers', 0.959208347016946), ('Andrei', 0.9396619740618921), ('Zhu', 0.9305678029676555), ('Auto', 0.9103641908101961)]"
1,665,"[('assembly', 1.0), ('pulling', 0.9772314027090044), ('Hawk', 0.9743109885407903), ('bouncing', 0.9673416564516856), ('sent', 0.9606201882902432)]","[('pulling', 1.0), ('assembly', 0.9996355433851124), ('pull', 0.9969249679586603), ('Hawk', 0.9908765275783744), ('governor', 0.9767740984916748)]","[('assembly', 1.0), ('Hawk', 0.9910339356872027), ('pulling', 0.9888139267216781), ('pull', 0.9789036722778732), ('bouncing', 0.9738448683597397)]","[('assembly', 1.0), ('Hawk', 0.9889502821834805), ('pulling', 0.9848685163360414), ('pull', 0.9768719109889576), ('bouncing', 0.9703095819809432)]","[('assembly', 1.0), ('pulling', 0.9799096590800753), ('Hawk', 0.9764908834162248), ('bouncing', 0.9672946385895865), ('pull', 0.9665458478504004)]"
2,2714,"[('VU', 1.0), ('dans', 0.9996517621667751), ('Blazers', 0.9285730868468249), ('Him', 0.9118307642707268), ('Technical', 0.904578666747942)]","[('Maltese', 1.0), ('Scottish', 0.9544567664946978), ('Baltic', 0.8415667211722493), ('purposes', 0.8312189616430579), ('ears', 0.7404498423301669)]","[('VU', 1.0), ('Him', 0.8955409237384412), ('Technical', 0.8615895755905482), ('Vacation', 0.8522893897462493), ('frequent', 0.8276483510754847)]","[('VU', 1.0), ('drugmaker', 0.8771718219221041), ('dans', 0.8690951794355634), ('Him', 0.8570448246205385), ('Vacation', 0.8447859138716807)]","[('VU', 1.0), ('dans', 0.8983872919442584), ('Blazers', 0.8976847242364234), ('McKinnie', 0.8525419884276471), ('Aid', 0.8423554468091371)]"
3,2611,"[('Amendment', 1.0), ('Network', 0.9604838369098982), ('Prix', 0.9181194275394977), ('Nuremberg', 0.9109624736445664), ('Odyssey', 0.8986523036776269)]","[('Myanmar', 1.0), ('Arabia', 0.9979478794541051), ('Braga', 0.9316136281979921), ('Salvador', 0.8854642731485015), ('mound', 0.8789542079553514)]","[('Network', 1.0), ('Nuremberg', 0.945683032002417), ('Parkway', 0.9141746757058579), ('Prix', 0.9019108694565185), ('Generation', 0.8689207152656682)]","[('Nuremberg', 1.0), ('Network', 0.9644094681350507), ('Prix', 0.9040584904619301), ('Generation', 0.8574708347726557), ('Odyssey', 0.8510029390737747)]","[('Nuremberg', 1.0), ('Network', 0.9477741447234834), ('Prix', 0.9315474585946857), ('venues', 0.9182507989836294), ('Odyssey', 0.9045567259482372)]"
4,515,"[('simplified', 1.0), ('formally', 0.9692693192603746), ('planet', 0.9248301256727143), ('boys', 0.9197607795783082), ('verdict', 0.9137627772228765)]","[('simplified', 1.0), ('formally', 0.9793030000011961), ('planet', 0.931373522337037), ('verdict', 0.9201863642543616), ('civilian', 0.915862970321347)]","[('simplified', 1.0), ('formally', 0.9715753180990518), ('planet', 0.9333698106287223), ('verdict', 0.9214247991493976), ('civilian', 0.9155819180844209)]","[('simplified', 1.0), ('formally', 0.9644744839195136), ('planet', 0.9279768610843577), ('boys', 0.9136147548617066), ('civilian', 0.91238232831895)]","[('simplified', 1.0), ('formally', 0.9618082995590679), ('planet', 0.9273447603346265), ('boys', 0.916327430676889), ('verdict', 0.9080158253713676)]"
5,3867,"[('Us', 1.0), ('Armenians', 0.9617846696652749), ('Audi', 0.959133343819834), ('Cisneros', 0.9541023124061275), ('Fear', 0.9523176161927498)]","[('Unknown', 1.0), ('Within', 0.98071410642938), ('Benedict', 0.9753577276452845), ('Quiet', 0.9538278195512383), ('Janitors', 0.9077758212236959)]","[('Cisneros', 1.0), ('Rock', 0.9974938610068483), ('A4', 0.9965365096717443), ('Hillbillies', 0.9179239702589983), ('Fear', 0.9091721389011603)]","[('Cisneros', 1.0), ('Liberals', 0.9205673045262349), ('Rock', 0.9123805150266816), ('Fear', 0.9002510837107887), ('A4', 0.8779140598609261)]","[('Cisneros', 1.0), ('Armenians', 0.8839624240080665), ('Us', 0.8309637432860667), ('Finnish', 0.8135328874498521), ('Fear', 0.8095440189161686)]"
6,1915,"[('niece', 1.0), ('shake', 0.9893578199771756), ('contributors', 0.9571974960238345), ('Cornell', 0.9404730397985867), ('titular', 0.9354430435444666)]","[('Summit', 1.0), ('Convention', 0.8554058488106394), ('permitted', 0.8495231620114044), ('anyway', 0.8462175267250187), ('code', 0.8104092630309409)]","[('contributors', 1.0), ('shake', 0.9707500979885784), ('Broadway', 0.9589210633317582), ('restored', 0.930893545941075), ('regarding', 0.9295879351333927)]","[('IN', 1.0), ('shake', 0.9569431018266074), ('contributors', 0.9479446388519779), ('throne', 0.942221045777239), ('niece', 0.9241948263478972)]","[('shake', 1.0), ('Brookings', 0.9360937145937016), ('niece', 0.905089996795176), ('contributors', 0.8770665965140024), ('throne', 0.8666410911125737)]"
7,410,"[('Irish', 1.0), ('inauguration', 0.9592244830988896), ('Scottish', 0.953889277902083), ('buffalo', 0.9521291913063824), ('elevated', 0.899377162138591)]","[('Irish', 1.0), ('Scottish', 0.9700331274383622), ('inauguration', 0.9486807507631088), ('buffalo', 0.9433108835345803), ('elevated', 0.8949240798025376)]","[('Irish', 1.0), ('Scottish', 0.9602256782051327), ('inauguration', 0.9578341697455679), ('buffalo', 0.9513216285917887), ('elevated', 0.8956808926604021)]","[('Irish', 1.0), ('inauguration', 0.9604707748897847), ('Scottish', 0.9583682061971515), ('buffalo', 0.9555535180393033), ('elevated', 0.8996355105325837)]","[('Irish', 1.0), ('inauguration', 0.9575146976407964), ('buffalo', 0.9523922643584085), ('Scottish', 0.9519509680755395), ('elevated', 0.8959094653119245)]"
8,11,"[('target', 1.0), ('trafficking', 0.9864504808121751), ('Werner', 0.9381880902659591), ('baseball', 0.9141182349288395), ('180', 0.9085249136554461)]","[('target', 1.0), ('trafficking', 0.9564167508286102), ('Werner', 0.9186074888731007), ('baseball', 0.9095293621639762), ('capacity', 0.8904870631322545)]","[('target', 1.0), ('trafficking', 0.9723222273157232), ('Werner', 0.9349774341755285), ('baseball', 0.9174366429305724), ('180', 0.8989251406461942)]","[('target', 1.0), ('trafficking', 0.9842260273482271), ('Werner', 0.9447707225852575), ('baseball', 0.9208588538005098), ('180', 0.9057479633998405)]","[('target', 1.0), ('trafficking', 0.9830005522807628), ('Werner', 0.9418812661308897), ('baseball', 0.9113160766305259), ('180', 0.9081612754298614)]"
9,2451,"[('Peña', 1.0), ('Liza', 0.9241048210713092), ('Trevor', 0.8775595894781442), ('Shinzo', 0.8723380910452578), ('Haggis', 0.8584656346863361)]","[('offensive', 1.0), ('bullpen', 0.9224269020175427), ('filmmaker', 0.8813777550577858), ('finger', 0.8685159956251621), ('Ariel', 0.8262167656604076)]","[('Peña', 1.0), ('Trevor', 0.9323300949366784), ('Burkina', 0.9095049365724363), ('Derek', 0.8693770219913683), ('Liza', 0.8008740492607421)]","[('Peña', 1.0), ('Trevor', 0.8820520836273141), ('Liza', 0.8032368642145231), ('Burkina', 0.7683701994293335), ('Derek', 0.7676971130664)]","[('Peña', 1.0), ('Trevor', 0.8635700720196754), ('Liza', 0.8437015351072655), ('Shinzo', 0.8095420437994811), ('l', 0.7856149684956771)]"
