,neuron-id,current_concepts,concepts_1,concepts_2,concepts_3,concepts_4
0,3875,"[('Perry', 1.0), ('Orlando', 0.9518884491101361), ('Duffy', 0.945689281325673), ('Pierce', 0.9443640731953321), ('Cory', 0.9423752823544739)]","[('Lonely', 1.0), ('Paradise', 0.9347026411272338), ('Voice', 0.9234673441792797), ('Quiet', 0.914131104644733), ('Soldier', 0.9118144459081674)]","[('Perry', 1.0), ('Orlando', 0.9647225798088482), ('Arnold', 0.9424720548504703), ('Shiva', 0.9283214837733721), ('Clifton', 0.9209017367193203)]","[('Perry', 1.0), ('Orlando', 0.9997549110049601), ('Edmond', 0.9447278488471057), ('Wade', 0.9310003654313816), ('Arnold', 0.9264783306332676)]","[('Perry', 1.0), ('Orlando', 0.9978959715163268), ('Duffy', 0.9754832644123355), ('Bey', 0.9455322242005096), ('Warwick', 0.936693685498162)]"
1,5019,"[('Saunders', 1.0), ('Howe', 0.9394870070349591), ('Mahaveer', 0.9194229597719905), ('Hamid', 0.9177165423227946), ('Phillip', 0.9169117834855824)]","[('Aboriginal', 1.0), ('Great', 0.9873531657907826), ('Malaysian', 0.9620834996195288), ('Wehrmacht', 0.9563903725481467), ('Slovenia', 0.9435219994458095)]","[('Ah', 1.0), ('Saunders', 0.9998635733427367), ('Cheryl', 0.9926796279183314), ('Lamb', 0.9770170709017907), ('Christensen', 0.9573671936118048)]","[('Howe', 1.0), ('Ah', 0.988057812679994), ('Cheryl', 0.9623879891726618), ('Saunders', 0.9551693962526151), ('Fitzgerald', 0.9451038471174652)]","[('Saunders', 1.0), ('Ah', 0.9761987830304591), ('Howe', 0.9679061359538226), ('Libby', 0.9137026153617221), ('Christensen', 0.9026280017470096)]"
2,3953,"[('Brennan-Jobs', 1.0), ('Aronson', 0.9926168624224412), ('Lycett', 0.9892802289882403), ('Phillips-Davies', 0.9703112850223549), ('Bezos', 0.9618165333124654)]","[('Notre', 1.0), ('Weeknd', 0.9964207010249764), ('Lies', 0.9641469042550534), ('Ravens', 0.8928732504211756), ('Together', 0.8601635334067904)]","[('Tang', 1.0), ('Saunders', 0.9105523766325725), ('Powell', 0.9007234928136393), ('Unger', 0.894385797833815), ('Melissa', 0.8906148973346152)]","[('Lycett', 1.0), ('Tang', 0.9878384052596407), ('Allison', 0.9772173110957479), ('Unger', 0.9769023919951407), ('Sutton', 0.9730553696362124)]","[('Brennan-Jobs', 1.0), ('Lycett', 0.9987699645489998), ('QB', 0.9902333462080578), ('Bezos', 0.9857537241046389), ('Phillips-Davies', 0.9834234829143039)]"
3,4908,"[('Yan', 1.0), ('Wall', 0.9557747449894154), ('Willem', 0.9495977571655714), ('Kathryn', 0.9438417250491415), ('Lena', 0.9427785310880001)]","[('Leyen', 1.0), ('Mon-Sat', 0.9605179698991795), ('Pamela', 0.8941143447256106), ('Cindy', 0.8563442122043103), ('Clare', 0.8509771697188082)]","[('Gail', 1.0), ('Willem', 0.9907896429361593), ('Reagan', 0.9876240507711315), ('Kathryn', 0.966799814541989), ('Bobby', 0.965910599405551)]","[('Gail', 1.0), ('Willem', 0.9970934228873308), ('Reagan', 0.9837560113204409), ('Kathryn', 0.9812778516878019), ('Herman', 0.9754584296854811)]","[('Tang', 1.0), ('Yan', 0.9953844402173075), ('Willem', 0.9740931596940514), ('Gail', 0.9715106695799505), ('Lena', 0.9635011162071021)]"
4,4087,"[('Halle', 1.0), ('Buzz', 0.9789046418983963), ('Collingwood', 0.9466631219134233), ('Thicke', 0.921620822115347), ('García', 0.9146735786093871)]","[('fin', 1.0), ('Circuit', 0.898950529420803), ('S', 0.8367865145014529), ('Arg', 0.8235916866328634), ('Supreme', 0.8138410699179909)]","[('Halle', 1.0), ('Dawn', 0.9288865556685929), ('Buzz', 0.9163580534903335), ('García', 0.9027430827013859), ('Chapman', 0.887823772062294)]","[('Halle', 1.0), ('García', 0.9347538029998589), ('Chapman', 0.9259001239380855), ('Dawn', 0.9018506230008355), ('Collingwood', 0.9001085993618252)]","[('Halle', 1.0), ('Collingwood', 0.9171086077385452), ('García', 0.8783013095358548), ('Hitler', 0.8611020625773449), ('Chapman', 0.8604333422305283)]"
5,4700,"[('Winchester', 1.0), ('Regina', 0.9981603933612081), ('Layla', 0.9847991275217853), ('Solomon', 0.9844281200154886), ('Bo', 0.9784490376451614)]","[('Eva', 1.0), ('Madonna', 0.9279062335452548), ('Regina', 0.9211619691010506), ('Boris', 0.9104639243223116), ('Emilia', 0.9005567387548175)]","[('Preston', 1.0), ('Padma', 0.9915060722469492), ('García', 0.9913043902479047), ('Common', 0.991157924101265), ('Barnett', 0.9867681529598857)]","[('Winchester', 1.0), ('Barrow', 0.9554156133143942), ('Bo', 0.9552156549169093), ('Clarkson', 0.9383424737517018), ('Preston', 0.9338509270412805)]","[('Winchester', 1.0), ('Common', 0.9835807427551305), ('Del', 0.976528212515799), ('Barrow', 0.974977914547371), ('Regina', 0.9620356332390211)]"
6,4747,"[('Bo', 1.0), ('Barrow', 0.9885881819976188), ('Kill', 0.9681302884596625), ('Saunders', 0.9471296317350433), ('Winchester', 0.946377984104331)]","[('Athletic', 1.0), ('Massacre', 0.9909169569622424), ('Clive', 0.9798332801889496), ('Storm', 0.915808803727748), ('Mount', 0.8980663072034506)]","[('Winchester', 1.0), ('Barrow', 0.9785227584354146), ('Yao', 0.9590098683708266), ('Christensen', 0.9562359382290689), ('Warwick', 0.9450082474647025)]","[('Barrow', 1.0), ('Winchester', 0.9765629548319504), ('Bo', 0.9264347675392569), ('Yao', 0.9148006973037215), ('Fitzgerald', 0.9117230650477576)]","[('Barrow', 1.0), ('Duncan', 0.9823414964288444), ('Regina', 0.9739440047211501), ('Warwick', 0.9725770555386664), ('Bo', 0.9687373596998045)]"
7,4643,"[('Holy', 1.0), ('Lauper', 0.9869230271153162), ('Castello', 0.9802968847721639), ('Chung', 0.9794729492467843), ('Dyke', 0.9779599929286416)]","[('Dolly', 1.0), ('Walking', 0.9113744930758144), ('Meet', 0.886417589253491), ('Flash', 0.8753947237986891), ('Welcome', 0.8282624715091915)]","[('Copa', 1.0), ('Tang', 0.9274681580148266), ('FIFA', 0.8595950423379873), ('Havana', 0.8592853187140678), ('Yan', 0.8575285427819164)]","[('Havana', 1.0), ('Tang', 0.9680515327185637), ('Copa', 0.957990184748936), ('Tomb', 0.9012977139094979), ('Chung', 0.9007187831972401)]","[('Havana', 1.0), ('Chung', 0.9942725109648114), ('Baba', 0.9925027956176062), ('Squarepants', 0.9761101631017104), ('Becker', 0.9758544042652426)]"
8,4528,"[('Juliana', 1.0), ('Maarten', 0.9402817035437959), ('Kangzhen', 0.9153637250837693), ('Amparo', 0.9054630211535907), ('Indiana', 0.8933902059138983)]","[('Dartmouth', 1.0), ('Spa', 0.9554050487976317), ('maker', 0.9324666353045817), ('module', 0.9086007624897745), ('Wisconsin', 0.8557192116354068)]","[('Indiana', 1.0), ('Kangzhen', 0.9876108925961486), ('Rivers', 0.9438404116168213), ('Saunders', 0.9304847127634162), ('Truong', 0.9142681203816002)]","[('Indiana', 1.0), ('Christensen', 0.9779473169890169), ('Wannsee', 0.974959850456428), ('Kangzhen', 0.95121095563291), ('Dapchi', 0.9439235439193445)]","[('Wannsee', 1.0), ('Kangzhen', 0.9945324758018871), ('Dapchi', 0.9791300232129936), ('Indiana', 0.9666159852626149), ('Amparo', 0.9474092928992599)]"
9,4633,"[('Purple', 1.0), ('Rafa', 0.9541713719722331), ('Mi', 0.9540689691733465), ('Matic', 0.9530762802783793), ('Milano', 0.9499273053829833)]","[('Latin', 1.0), ('Information', 0.9517510915286779), ('Polish', 0.9361882628493574), ('Musical', 0.9299296115727541), ('Direction', 0.9231661468157965)]","[('Shia', 1.0), ('Enlightenment', 0.9977560147956404), ('Serb', 0.9936401621730812), ('Jewish', 0.9929720563907019), ('Wimbledon', 0.9911026109553732)]","[('Higuaín', 1.0), ('Enlightenment', 0.9778700210538896), ('Subban', 0.9744345318470623), ('Castello', 0.967064488186556), ('Am', 0.965784473603676)]","[('Subban', 1.0), ('Milano', 0.9866275971019404), ('Fung', 0.9851153557028088), ('Enlightenment', 0.9822863030349334), ('Wiesberger', 0.9745730222031432)]"
