,neuron-id,current_concepts,concepts_1,concepts_2,concepts_3,concepts_4
0,4983,"[('Canterbury', 1.0), ('Straits', 0.9857581672803378), ('Town', 0.9841364831855431), ('Dove', 0.9588286661667564), ('Golf', 0.955361734963353)]","[('Wilcox', 1.0), ('Clintons', 0.9666654605958213), ('Navarro', 0.9630651634808539), ('Peterson', 0.958708905843747), ('Wallis', 0.9541003393567205)]","[('Straits', 1.0), ('Town', 0.9704514587505939), ('Congo', 0.9593075596975885), ('Delhi', 0.9588527333991129), ('Hague', 0.9481438547489082)]","[('Bar', 1.0), ('Delhi', 0.9826273077865881), ('Hague', 0.9746301304050976), ('Golf', 0.9728602729224182), ('Straits', 0.9694799055626931)]","[('Town', 1.0), ('Bar', 0.9668923729074403), ('Dove', 0.9580398650241598), ('Canterbury', 0.9094967508737719), ('Hague', 0.9010324949816834)]"
1,4606,"[('Aires', 1.0), ('Civic', 0.944597897532257), ('Hook', 0.8900858747286623), ('Sachs', 0.878724032140581), ('Nacional', 0.8730641233098294)]","[('106', 1.0), ('Homer', 0.935838087196346), ('39', 0.8872811558647512), ('Says', 0.8481574431632587), ('57', 0.8432967895647071)]","[('Aires', 1.0), ('Civic', 0.968253173716845), ('Lumpur', 0.9583960012804873), ('Clara', 0.9458463154623389), ('Hampshire', 0.9439799197175013)]","[('Aires', 1.0), ('Civic', 0.9559509011302179), ('Andrés', 0.9085057927549335), ('Lumpur', 0.8968842689673858), ('Clara', 0.8853621682256041)]","[('Aires', 1.0), ('Civic', 0.9105927226660625), ('Sachs', 0.8587318430585074), ('Hook', 0.8522224442604699), ('Hampshire', 0.8519355492480496)]"
2,4933,"[('Dove', 1.0), ('Chico', 0.9643503660459144), ('Griffith', 0.9600345947750432), ('Hyde', 0.9560398931461371), ('Westwood', 0.9547587972787204)]","[('Asset', 1.0), ('Relief', 0.8544298356398111), ('Increases', 0.7799223833055159), ('Valuable', 0.7777118586764206), ('Fusion', 0.7732240555238149)]","[('Greenwich', 1.0), ('Uruguay', 0.999368205768356), ('Portugal', 0.9979312629418807), ('Westwood', 0.9971015959819161), ('Griffith', 0.9948750963364951)]","[('Westwood', 1.0), ('Griffith', 0.9932562121469491), ('Greenwich', 0.9921325768146787), ('Hyde', 0.9907265133331893), ('Dove', 0.9883303347171734)]","[('Dove', 1.0), ('Greenwich', 0.9505796906038775), ('Chico', 0.9471998407628607), ('Auburn', 0.9403783088401663), ('Troy', 0.9300640850409903)]"
3,5235,"[('Cornwall', 1.0), ('Palmas', 0.9329507812796822), ('Pen', 0.914038709164417), ('Sabres', 0.8790255979502913), ('Giants', 0.87750716020618)]","[('Biophysics', 1.0), ('Weather', 0.9637862314397945), ('Regeneration', 0.9630302594547178), ('Defence', 0.962919562743435), ('Housing', 0.9585661754126812)]","[('Cornwall', 1.0), ('Segundo', 0.9785609521171313), ('Padres', 0.970733983876795), ('Giants', 0.9676231045800848), ('Moores', 0.9663209442449122)]","[('Cornwall', 1.0), ('Palmas', 0.9424832412101547), ('Pen', 0.9352170525520408), ('Sabres', 0.9163444081224714), ('Segundo', 0.907413836132715)]","[('Cornwall', 1.0), ('Palmas', 0.9549598192625648), ('Pen', 0.9404813049481916), ('Marymount', 0.9273042458634317), ('Sabres', 0.9183094600898737)]"
4,4867,"[('Ghana', 1.0), ('Thousand', 0.9863418831484378), ('Nairobi', 0.9856670326711716), ('Alps', 0.9796955801110637), ('Normandy', 0.9796713114715808)]","[('M20', 1.0), ('Laws', 0.9951265661569347), ('Nafta', 0.8474772982820653), ('Flight', 0.8469394770342372), ('WTO', 0.8428183269056263)]","[('Ghana', 1.0), ('Normandy', 0.9895404437633167), ('Thousand', 0.9854666903433791), ('Troy', 0.9814635294562025), ('Holiday', 0.9805031025015092)]","[('Ghana', 1.0), ('Thousand', 0.991192722270139), ('Cape', 0.9833729901152006), ('MacKenzie', 0.981295579969332), ('Griffith', 0.9809998123190456)]","[('Ghana', 1.0), ('Rotterdam', 0.9790346778211482), ('Alps', 0.9774756305814092), ('Thousand', 0.9765275302093656), ('Bangladesh', 0.9754291115057506)]"
5,4899,"[('NSW', 1.0), ('Dove', 0.982592684549679), ('Veracruz', 0.9775137440291667), ('Nairobi', 0.9772660118685819), ('Hong', 0.9685784475918147)]","[('Churches', 1.0), ('ZIP', 0.8981909308868526), ('Morning', 0.8942157769732372), ('GMA', 0.8890501723846836), ('BA', 0.8672357872371991)]","[('Auburn', 1.0), ('Veracruz', 0.9986378568456067), ('Kuala', 0.9800715762748442), ('Buckinghamshire', 0.9742952453225044), ('Troy', 0.974271994965632)]","[('Veracruz', 1.0), ('Baxter', 0.9826586944575829), ('NSW', 0.9814936451494902), ('Auburn', 0.9801524813274586), ('Finch', 0.9793738479823025)]","[('NSW', 1.0), ('Dove', 0.9898637163419012), ('Auburn', 0.9741322503832717), ('Nairobi', 0.9656942312001141), ('Veracruz', 0.9632732746164934)]"
6,4913,"[('McNabb', 1.0), ('Linke', 0.9916909503853798), ('Parakilas', 0.9795802247448455), ('Segundo', 0.9727150374456855), ('Comber', 0.9679899597534395)]","[('Gao', 1.0), ('Simon', 0.9960841111540687), ('Flores', 0.957473290178357), ('Morrison', 0.9560991305239045), ('Cobbe', 0.9448731040326123)]","[('Parakilas', 1.0), ('Says', 0.9941760484177458), ('Lovette', 0.9589380545710722), ('Zlamal', 0.9581184833531288), ('Bartana', 0.95663831870139)]","[('McNabb', 1.0), ('Parakilas', 0.9980715631164216), ('Bartana', 0.988857534293839), ('Linke', 0.9731789117275846), ('Lovette', 0.9720387072109252)]","[('Parakilas', 1.0), ('Segundo', 0.9961148218758511), ('McNabb', 0.996096962580311), ('Rossi', 0.9950250699861144), ('Comber', 0.985621816022467)]"
7,4877,"[('Straits', 1.0), ('Golf', 0.9945777913091145), ('Bar', 0.9893877894371024), ('Town', 0.9363825104364218), ('Faso', 0.9337593925035208)]","[('Alexandria', 1.0), ('Sergei', 0.9800399710658232), ('Isaac', 0.9585981439266471), ('Gear', 0.9578941314492113), ('Bernardo', 0.9235327424854841)]","[('Faso', 1.0), ('Hague', 0.9819365052433348), ('Town', 0.9799146760397561), ('Golf', 0.9650372551409427), ('Straits', 0.9484983286772897)]","[('Bar', 1.0), ('Faso', 0.993147544881876), ('Straits', 0.9753450572311391), ('Hague', 0.9571613117416264), ('Golf', 0.9435340337813983)]","[('Bar', 1.0), ('Straits', 0.9595508296897874), ('Town', 0.9305794191318029), ('Hague', 0.9112161082524972), ('Spa', 0.907546180332733)]"
8,4976,"[('Buckinghamshire', 1.0), ('Middlesex', 0.9953071644430159), ('Surrey', 0.9937739209570436), ('Glasgow', 0.9774292926021284), ('Manitoba', 0.9759931041285171)]","[('Workers', 1.0), ('BioDefense', 0.8885952441999809), ('Regenerative', 0.8669245607762258), ('Sodra', 0.8588403341717115), ('Regeneration', 0.8504088679259334)]","[('Buckinghamshire', 1.0), ('Dove', 0.9620268977647002), ('Manitoba', 0.9619082471033982), ('Griffith', 0.9594581534746304), ('Middlesex', 0.9569470334304617)]","[('Buckinghamshire', 1.0), ('Dove', 0.9893204962601588), ('Middlesex', 0.9826302523501594), ('Manitoba', 0.9740075394630623), ('Aspen', 0.9722354822382454)]","[('Richmond', 1.0), ('Middlesex', 0.9998882758769222), ('Buckinghamshire', 0.9980023143495054), ('Surrey', 0.9959977300709291), ('Anaheim', 0.9866931259901119)]"
9,5134,"[('Ice', 1.0), ('Country', 0.882539564889421), ('Salvador', 0.8783683165641502), ('Crown', 0.8557103103268395), ('Bruges', 0.8525147207283618)]","[('Everest', 1.0), ('Odd', 0.9028578892557501), ('Grey', 0.8981505253058195), ('Trappist', 0.8870785037708346), ('Achievement', 0.854360337369049)]","[('Cricket', 1.0), ('Northridge', 0.9625124409206877), ('Cornwall', 0.9559684600837627), ('Madero', 0.9506901360699113), ('Scotia', 0.9459262187381142)]","[('Ice', 1.0), ('Madero', 0.9939224038094534), ('Northridge', 0.9629865603656582), ('Camino', 0.9282394050343837), ('Scotia', 0.9258603255125682)]","[('Country', 1.0), ('Bruges', 0.9755920221239415), ('Salvador', 0.9634827345309488), ('Sachs', 0.9449620324968065), ('Peninsula', 0.9352693364940996)]"
