,neuron-id,current_concepts,concepts_1,concepts_2,concepts_3,concepts_4
0,5142,"[('NSW', 1.0), ('Guatemala', 0.9729093910232198), ('Indonesia', 0.9451573502154579), ('Luxembourg', 0.9410978559195339), ('Baltic', 0.9315501276273938)]","[('Bobby', 1.0), ('Drew', 0.9491162956116644), ('Swastikas', 0.9411723742763495), ('Carl', 0.9187934217776831), ('Francis', 0.8965265212303761)]","[('NSW', 1.0), ('Guatemala', 0.9675859759567486), ('Downtown', 0.9624948699863435), ('Luxembourg', 0.9607357293456298), ('Saskatchewan', 0.9548420226864519)]","[('Europa', 1.0), ('Brazil', 0.9563386289082247), ('NSW', 0.9525277429380817), ('Guatemala', 0.9490415757791582), ('Saskatchewan', 0.9244660883589366)]","[('NSW', 1.0), ('Europa', 0.9771624152561434), ('Luxembourg', 0.9464727135479355), ('Bar', 0.9380841826462576), ('Brazil', 0.9294643650643005)]"
1,5020,"[('Bosnian', 1.0), ('Latin', 0.9709709920929469), ('Welsh', 0.9634590202418931), ('Bronze', 0.9584663953635114), ('Segundo', 0.9341307330205975)]","[('Butcher', 1.0), ('Stokes', 0.9478702845811187), ('Duff', 0.9462076999045873), ('Clifford', 0.9383805955993522), ('Nichols', 0.9179247830958424)]","[('Macmillan', 1.0), ('Bosnian', 0.9457128675076357), ('Segundo', 0.9281739841869489), ('Corporate', 0.9174196448403736), ('Wild', 0.9153011059222786)]","[('Macmillan', 1.0), ('Hangar', 0.98523805684821), ('Walderslade', 0.9396786998623848), ('Worldwide', 0.9220903848278508), ('Latin', 0.9180554519532825)]","[('Macmillan', 1.0), ('Burning', 0.9941498002905518), ('Latin', 0.9820593533711129), ('Bronze', 0.9509398446117422), ('Bosnian', 0.9470111656785891)]"
2,4957,"[('Scotia', 1.0), ('Prairie', 0.9713442424630262), ('Basel', 0.9621449137337588), ('Presidential', 0.9533904794932109), ('ArenA', 0.94758785313353)]","[('Route', 1.0), ('Venezuelan', 0.9842382421293321), ('Funny', 0.9629099969699827), ('Australian', 0.9495820591306802), ('Libyan', 0.9480995277923121)]","[('Brunei', 1.0), ('Scotia', 0.9979768179418511), ('Arabia', 0.963661588054998), ('Hawkeye', 0.9379589133071754), ('Rim', 0.9333148408267331)]","[('Hawkeye', 1.0), ('Rim', 0.9779920683285251), ('Harwell', 0.964759983224778), ('ArenA', 0.9452692080833098), ('Scotia', 0.9371083443223768)]","[('Hawkeye', 1.0), ('Rim', 0.9652808048153505), ('Harwell', 0.9345240079039666), ('ArenA', 0.9309942141069842), ('Basel', 0.9180045685488433)]"
3,5101,"[('Manchester', 1.0), ('Broken', 0.9845773305123879), ('Churchill', 0.9537718886701114), ('Compton', 0.948269778502306), ('BC', 0.9464002072962145)]","[('Sachs', 1.0), ('AG', 0.9908253628755367), ('Mackenzie', 0.949977944358621), ('Learning', 0.9330724805831586), ('Factory', 0.8896154534056042)]","[('BC', 1.0), ('Churchill', 0.9916105484777149), ('Monte', 0.9849609206624074), ('Aberdeen', 0.9820540855651075), ('Edward', 0.9796980145813586)]","[('Manchester', 1.0), ('Compton', 0.9456800885287013), ('Sunshine', 0.9329300924942262), ('Broken', 0.9311472733303447), ('Newport', 0.9175451693491296)]","[('Manchester', 1.0), ('Churchill', 0.9490918420321374), ('Edna', 0.9449041195840814), ('Newport', 0.9446198977342121), ('Sunshine', 0.9304053733633064)]"
4,3984,"[('Asset', 1.0), ('Read', 0.9762193775551079), ('Personality', 0.9608951464008952), ('Fashion', 0.9501070964574188), ('Culture', 0.9444797540100662)]","[('Islanders', 1.0), ('Goose', 0.9939414049472631), ('Honor', 0.9751393796888002), ('Economic', 0.9350056088744858), ('Sharks', 0.916941706445321)]","[('Valuable', 1.0), ('Free', 0.9968846728521601), ('Read', 0.9828823610724537), ('Culture', 0.9672884601152019), ('Fashion', 0.9603645028436474)]","[('Odd', 1.0), ('Read', 0.9940354749868434), ('Fusion', 0.9495105921610452), ('Asset', 0.9428957796266296), ('Re', 0.935108200296965)]","[('Odd', 1.0), ('Secure', 0.9233784935018902), ('Comics', 0.9138972748822325), ('Recovery', 0.9107774168276174), ('Personality', 0.904522797258569)]"
5,4691,"[('Latin', 1.0), ('Race', 0.987150678654562), ('Lithuanian', 0.9747720636696382), ('Malaysian', 0.9714278782240263), ('Eastern', 0.9655828476977258)]","[('MTV', 1.0), ('Legion', 0.9891650835925688), ('Kids', 0.9474285791288052), ('Route', 0.9370483202730723), ('Meet', 0.9198888993774017)]","[('Latin', 1.0), ('Malaysian', 0.9727973791340468), ('Lutheran', 0.923314103741761), ('Lithuanian', 0.9223236716121938), ('Arabic', 0.9195317764703599)]","[('Latin', 1.0), ('Eastern', 0.9562419092077074), ('Lithuanian', 0.955838486264535), ('Race', 0.9517417232311518), ('Bronze', 0.9501485376070583)]","[('Latin', 1.0), ('Pet', 0.9719216330993778), ('Lithuanian', 0.9683080902143039), ('Race', 0.9621493294925844), ('Bronze', 0.950010941125707)]"
6,3868,"[('Ole', 1.0), ('Corner', 0.9978862804994195), ('Der', 0.9750786033740078), ('Venice', 0.9670240709914711), ('Highland', 0.9531122802286948)]","[('SWA', 1.0), ('Leiden', 0.9910056542518537), ('Artists', 0.9854376139417372), ('Portugalia', 0.9848353090300125), ('MARRY', 0.9682910476955308)]","[('Wendy', 1.0), ('Université', 0.9845425433443514), ('Corner', 0.9834045396548021), ('Der', 0.9821491505261688), ('Kensington', 0.9577082592845634)]","[('Ole', 1.0), ('Wendy', 0.9642422731790902), ('Der', 0.961641502850917), ('Highland', 0.9562974232080647), ('Nou', 0.9513670978019212)]","[('Ole', 1.0), ('Wendy', 0.9580687914119211), ('Nou', 0.92949933791698), ('Edward', 0.9131872239815498), ('Chiapas', 0.9091055666201063)]"
7,5312,"[('Zimbabwe', 1.0), ('Uzbekistan', 0.99854601341502), ('Gulf', 0.9930295829047764), ('Albania', 0.9882999587391319), ('Louisville', 0.9870136965130792)]","[('Commuters', 1.0), ('Shopping', 0.9562404077569706), ('Il', 0.9358830913112318), ('Bell', 0.9091177345722408), ('Empress', 0.8782524495362442)]","[('Uzbekistan', 1.0), ('Albania', 0.9991200225068696), ('Gulf', 0.9852669072366694), ('Ghana', 0.9723134672526332), ('Taiwan', 0.9707446022694427)]","[('Zimbabwe', 1.0), ('Gulf', 0.9871004940628368), ('Uzbekistan', 0.981181254759463), ('Louisville', 0.9806925635061319), ('Albania', 0.9732730777911379)]","[('Louisville', 1.0), ('Gulf', 0.9981439114520426), ('Uzbekistan', 0.9961944703411788), ('Zimbabwe', 0.9934974176036487), ('Albania', 0.980667769191326)]"
8,4903,"[('Jungle', 1.0), ('Ice', 0.9733707288441689), ('Maritime', 0.9583692141998978), ('Indians', 0.9529109870271465), ('Disney', 0.9496743929561244)]","[('Celtics', 1.0), ('Bruins', 0.9566118088226992), ('Marymount', 0.9353212389678238), ('Archdiocese', 0.9088577370108232), ('Royals', 0.8508192969279061)]","[('PBS', 1.0), ('SPD', 0.9898664925366281), ('Broadway', 0.9736670122128153), ('Der', 0.961186504867184), ('Ames', 0.9592893591935082)]","[('SPD', 1.0), ('Indians', 0.9764501153522059), ('Mont', 0.9533642913028736), ('Pet', 0.9520219268310955), ('Barker', 0.9472262048905422)]","[('Venice', 1.0), ('Borders', 0.9944586412027269), ('Maritime', 0.9550829462105923), ('PBS', 0.9380633718002623), ('Thames', 0.9285346820991959)]"
9,5236,"[('Belarus', 1.0), ('Brazil', 0.9795268023424636), ('Albania', 0.9749775316138006), ('Zimbabwe', 0.9588003973662701), ('Ireland', 0.9477341786173634)]","[('Produced', 1.0), ('PhD', 0.9007234369762699), ('Magic', 0.8766088475141411), ('Stars', 0.8746060736043471), ('II-listed', 0.8619402126984952)]","[('Belarus', 1.0), ('Albania', 0.9901627409111416), ('Naples', 0.9651636351703643), ('Uzbekistan', 0.9467536148199798), ('Ireland', 0.9448724093361275)]","[('Brazil', 1.0), ('Belarus', 0.9743129259696756), ('Albania', 0.9710634731484715), ('Europa', 0.9664978934725965), ('Ireland', 0.9590976771417059)]","[('Europa', 1.0), ('Belarus', 0.9751635685581123), ('Brazil', 0.9743917592977507), ('Ireland', 0.9584717747237119), ('Albania', 0.9559044277457096)]"
